seed,f1_distancia,f2_veiculos,f3_desbalanceamento,fitness
1,343.56696447183697,4,39.05124837953327,543.566964471837
2,303.0191697656816,4,47.69696007084728,503.0191697656816
3,309.4968831088244,5,52.687759489277965,559.4968831088245
4,307.8875590706402,5,51.146847410177685,557.8875590706402
5,266.0757312127207,4,45.0,466.0757312127207
